"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,          71,      -5.172942068,      -3.025287136,      -3.150236512,      -3.260223452,     -0.3702366691,      -2.321967266,    -0.04289306274,   7.963076866e-11,   8.870111481e-05,                 1,                 1,                 1
          0,           0,          72,      -5.173186052,      -3.025941579,      -3.149612549,      -3.260584953,     -0.3734232601,      -2.321987106,    -0.04286779827,   7.963041259e-11,   8.870110586e-05,                 1,                 1,                 1
          0,           0,          73,      -5.173428865,      -3.026851403,      -3.149014815,       -3.26108114,     -0.3766393158,      -2.322004732,    -0.04279737796,   7.963005663e-11,    8.87010969e-05,                 1,                 1,                 1
          0,           0,          74,      -5.173661218,      -3.027589077,      -3.148173798,       -3.26100969,     -0.3796354264,      -2.322017967,    -0.04271744176,   7.962970081e-11,   8.870108795e-05,                 1,                 1,                 1
          0,           0,          75,       -5.17391873,      -3.028760518,      -3.147698919,      -3.261547613,      -0.383217851,      -2.322024374,    -0.04262707141,   7.962934511e-11,   8.870107899e-05,                 1,                 1,                 1
          0,           0,          76,      -5.174150567,      -3.030239378,      -3.147464762,       -3.26244517,     -0.3861814584,      -2.322021756,    -0.04259937194,   7.962898955e-11,   8.870107004e-05,                 1,                 1,                 1
          0,           0,          77,      -5.174357069,      -3.031630946,      -3.146986633,      -3.262664521,     -0.3885037187,       -2.32200845,    -0.04257298012,   7.962863412e-11,   8.870106107e-05,                 1,                 1,                 1
          0,           0,          78,      -5.174595853,      -3.032955708,      -3.146591652,      -3.262785958,     -0.3915320341,       -2.32198288,    -0.04253108054,   7.962827882e-11,   8.870105211e-05,                 1,                 1,                 1
          0,           0,          79,      -5.174838746,      -3.034314073,      -3.146313786,      -3.262841823,     -0.3945829912,       -2.32194381,    -0.04253044967,   7.962792365e-11,   8.870104314e-05,                 1,                 1,                 1
          0,           0,          80,      -5.175050709,      -3.035749745,      -3.146110564,      -3.262874082,     -0.3967750826,      -2.321890545,    -0.04256083644,   7.962756862e-11,   8.870103417e-05,                 1,                 1,                 1
