"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,          82,      -5.625848731,       -3.23402994,      -3.631381372,      -3.601460737,     -0.9064429172,      -2.890452966,      0.1489234903,   1.200513505e-10,   8.871844903e-05,                 1,                 1,                 1
          0,           0,          83,       -5.62580109,      -3.233897921,      -3.630805186,      -3.600130006,     -0.9072186464,      -2.890316304,       0.147091658,   1.200558144e-10,    8.87184802e-05,                 1,                 1,                 1
          0,           0,          84,      -5.625773807,      -3.234265005,      -3.631428529,      -3.600789226,     -0.9086879265,      -2.890179784,      0.1507907792,   1.200602785e-10,   8.871851135e-05,                 1,                 1,                 1
          0,           0,          85,      -5.625741634,      -3.234609923,      -3.632018179,      -3.601381803,     -0.9100229238,      -2.890043181,      0.1525740293,   1.200647429e-10,   8.871854248e-05,                 1,                 1,                 1
          0,           0,          86,       -5.62571045,      -3.234941634,      -3.632560165,      -3.601825108,     -0.9114017772,      -2.889906242,      0.1485429673,   1.200692077e-10,   8.871857357e-05,                 1,                 1,                 1
          0,           0,          87,      -5.625676316,      -3.235280345,        -3.6330904,      -3.602262449,      -0.912769922,       -2.88976919,       0.151030227,   1.200736731e-10,   8.871860463e-05,                 1,                 1,                 1
          0,           0,          88,      -5.625634586,      -3.235868922,       -3.63418317,      -3.603588934,     -0.9138885052,      -2.889631749,      0.1473522459,   1.200781391e-10,   8.871863565e-05,                 1,                 1,                 1
          0,           0,          89,      -5.625605895,      -3.235454458,      -3.632616528,      -3.600961135,     -0.9154677179,      -2.889493935,      0.1451576767,   1.200826059e-10,   8.871866664e-05,                 1,                 1,                 1
          0,           0,          90,      -5.625578269,      -3.235909327,      -3.633165947,      -3.601716396,     -0.9170411119,      -2.889355851,      0.1438483579,   1.200870736e-10,    8.87186976e-05,                 1,                 1,                 1
          0,           0,          91,      -5.625500567,      -3.236372261,      -3.633787416,       -3.60246647,     -0.9169207949,      -2.889217411,       0.145655849,   1.200915423e-10,   8.871872851e-05,                 1,                 1,                 1
          0,           0,          92,      -5.625395043,      -3.236828513,      -3.634467444,      -3.603213558,     -0.9158788767,      -2.889078669,      0.1437558572,   1.200960122e-10,   8.871875939e-05,                 1,                 1,                 1
          0,           0,          93,      -5.625284458,      -3.237551003,      -3.635896807,      -3.604952016,     -0.9147473976,      -2.888939697,      0.1424720893,   1.201004834e-10,   8.871879022e-05,                 1,                 1,                 1
          0,           0,          94,      -5.625212562,      -3.237424492,      -3.635202966,      -3.603529462,     -0.9149809458,      -2.888800671,      0.1416660501,   1.201049559e-10,   8.871882102e-05,                 1,                 1,                 1
          0,           0,          95,      -5.625162511,      -3.237794408,      -3.635753569,      -3.604107863,      -0.916028243,       -2.88866166,      0.1461486787,     1.2010943e-10,   8.871885177e-05,                 1,                 1,                 1
          0,           0,          96,      -5.625108393,      -3.238127756,      -3.636284838,      -3.604656152,     -0.9169706718,       -2.88852234,      0.1434828394,   1.201139057e-10,   8.871888249e-05,                 1,                 1,                 1
          0,           0,          97,      -5.625038113,      -3.238465122,      -3.636852715,      -3.605190732,     -0.9173923515,      -2.888382622,       0.141969909,   1.201183831e-10,   8.871891316e-05,                 1,                 1,                 1
          0,           0,          98,      -5.624957725,      -3.238815199,      -3.637417916,      -3.605671593,     -0.9174949012,      -2.888242907,      0.1460264916,   1.201228624e-10,    8.87189438e-05,                 1,                 1,                 1
          0,           0,          99,      -5.624875252,      -3.239344889,      -3.638344771,      -3.606622571,       -0.91758057,      -2.888103201,      0.1436326609,   1.201273437e-10,   8.871897441e-05,                 1,                 1,                 1
          0,           0,         100,      -5.624812124,      -3.237661795,      -3.630941978,      -3.600014718,     -0.9183770311,      -2.887963671,      0.1415515284,   1.201318271e-10,   8.871900498e-05,                 1,                 1,                 1
          0,           0,         101,      -5.624761967,      -3.238363006,      -3.632700553,      -3.601650368,     -0.9196675918,      -2.887824327,      0.1402151002,   1.201363126e-10,   8.871903553e-05,                 1,                 1,                 1
          0,           0,         102,      -5.624652552,      -3.239771824,      -3.637720154,      -3.605341525,      -0.918955771,      -2.887685231,       0.139320793,   1.201408005e-10,   8.871906605e-05,                 1,                 1,                 1
